SaleDate,Store,Product,Category,Quantity,Amount
2026-06-01,札幌店,商品A,食品,12,24000
2026-06-01,旭川店,商品B,日用品,5,10000
2026-06-02,札幌店,商品A,食品,15,30000
2026-06-02,函館店,商品C,飲料,20,18000
2026-06-03,札幌店,商品D,食品,10,22000
2026-06-03,旭川店,商品A,食品,8,16000
2026-06-04,函館店,商品B,日用品,12,24000
2026-06-04,札幌店,商品E,家電,2,60000
2026-06-05,旭川店,商品C,飲料,15,13500
2026-06-05,札幌店,商品A,食品,18,36000
2026-06-06,函館店,商品D,食品,11,24200
2026-06-06,旭川店,商品B,日用品,6,12000
2026-06-07,札幌店,商品A,食品,20,40000
2026-06-07,函館店,商品C,飲料,18,16200
2026-06-08,旭川店,商品D,食品,10,22000
2026-06-08,札幌店,商品E,家電,1,30000
2026-06-09,函館店,商品A,食品,13,26000
2026-06-09,旭川店,商品C,飲料,14,12600
2026-06-10,札幌店,商品A,食品,25,50000
2026-06-10,函館店,商品B,日用品,15,30000
2026-06-11,旭川店,商品A,食品,18,36000
2026-06-11,札幌店,商品D,食品,14,30800
2026-06-12,函館店,商品E,家電,2,60000
2026-06-12,旭川店,商品C,飲料,16,14400
2026-06-13,札幌店,商品A,食品,28,56000
2026-06-13,函館店,商品D,食品,12,26400
2026-06-14,旭川店,商品B,日用品,9,18000
2026-06-14,札幌店,商品A,食品,30,60000
2026-06-15,函館店,商品C,飲料,22,19800
2026-06-15,札幌店,商品E,家電,3,90000
